"sample","forwards.image","backwards.image"
"1","TRUE","TRUE"
"10","TRUE","TRUE"
"100","TRUE","TRUE"
"10000","TRUE","TRUE"
"10001","TRUE","TRUE"
"10002","TRUE","TRUE"
"10003","TRUE","FALSE"
"10004","TRUE","TRUE"
"10005","TRUE","TRUE"
"102","TRUE","TRUE"
"103","TRUE","TRUE"
"1038","TRUE","FALSE"
"104","TRUE","TRUE"
"106","TRUE","FALSE"
"107","TRUE","TRUE"
"108 (2)","TRUE","FALSE"
"108","TRUE","TRUE"
"11","TRUE","TRUE"
"110","TRUE","TRUE"
"1108","TRUE","FALSE"
"111","TRUE","TRUE"
"112","TRUE","TRUE"
"114","TRUE","TRUE"
"115","TRUE","TRUE"
"116","TRUE","TRUE"
"119","TRUE","TRUE"
"11R1","TRUE","FALSE"
"11R2","TRUE","TRUE"
"11R3","TRUE","FALSE"
"11R4","TRUE","TRUE"
"11RC1","TRUE","TRUE"
"12","TRUE","TRUE"
"122","TRUE","TRUE"
"12RC1","TRUE","FALSE"
"12RC2","TRUE","TRUE"
"12RC3","TRUE","TRUE"
"12RC5","TRUE","TRUE"
"12RC6","TRUE","TRUE"
"12RC7","TRUE","TRUE"
"12RC8","TRUE","TRUE"
"12RC9","TRUE","TRUE"
"13","TRUE","TRUE"
"135","TRUE","TRUE"
"138","TRUE","TRUE"
"139","TRUE","TRUE"
"13RC1","TRUE","TRUE"
"13RC11","TRUE","TRUE"
"13RC12","TRUE","TRUE"
"13RC15","TRUE","TRUE"
"13RC2","TRUE","TRUE"
"13RC3","TRUE","FALSE"
"13RC4","TRUE","TRUE"
"13RC6","TRUE","TRUE"
"13RC7","TRUE","TRUE"
"13RC8","TRUE","TRUE"
"13RC9","TRUE","TRUE"
"14","TRUE","TRUE"
"143","TRUE","TRUE"
"144","TRUE","FALSE"
"15","TRUE","TRUE"
"151","TRUE","TRUE"
"154","TRUE","TRUE"
"16","TRUE","TRUE"
"160","TRUE","FALSE"
"167","TRUE","TRUE"
"17","TRUE","TRUE"
"170","TRUE","TRUE"
"175","TRUE","TRUE"
"176","TRUE","TRUE"
"18","TRUE","TRUE"
"183","TRUE","FALSE"
"19","TRUE","TRUE"
"192","TRUE","TRUE"
"196","TRUE","TRUE"
"2","TRUE","TRUE"
"20","TRUE","TRUE"
"202","TRUE","FALSE"
"207","TRUE","TRUE"
"208","TRUE","TRUE"
"21","TRUE","TRUE"
"218","TRUE","TRUE"
"22","TRUE","TRUE"
"224","TRUE","TRUE"
"23","TRUE","TRUE"
"234","TRUE","TRUE"
"236","TRUE","TRUE"
"24","TRUE","TRUE"
"240","TRUE","TRUE"
"247","TRUE","TRUE"
"25","TRUE","TRUE"
"256","TRUE","TRUE"
"26","TRUE","TRUE"
"267","TRUE","TRUE"
"27","TRUE","FALSE"
"270","TRUE","TRUE"
"271","TRUE","TRUE"
"272","TRUE","TRUE"
"279","TRUE","TRUE"
"28","TRUE","TRUE"
"282","TRUE","TRUE"
"287","TRUE","TRUE"
"288","TRUE","TRUE"
"29","TRUE","TRUE"
"295","TRUE","FALSE"
"298","TRUE","TRUE"
"3","TRUE","TRUE"
"30","TRUE","TRUE"
"304","TRUE","TRUE"
"31","TRUE","TRUE"
"314","TRUE","TRUE"
"316","TRUE","TRUE"
"32","TRUE","TRUE"
"320","TRUE","TRUE"
"327","TRUE","TRUE"
"33","TRUE","TRUE"
"330","TRUE","TRUE"
"331","TRUE","TRUE"
"335","TRUE","TRUE"
"34","TRUE","TRUE"
"346","TRUE","TRUE"
"35","TRUE","TRUE"
"352","TRUE","TRUE"
"36","TRUE","TRUE"
"362","TRUE","FALSE"
"368","TRUE","FALSE"
"37","TRUE","TRUE"
"375(1)","TRUE","FALSE"
"375","TRUE","TRUE"
"378","TRUE","FALSE"
"38","TRUE","TRUE"
"384","TRUE","TRUE"
"39","TRUE","TRUE"
"391","TRUE","FALSE"
"394","TRUE","FALSE"
"395","TRUE","FALSE"
"399","TRUE","TRUE"
"4","TRUE","TRUE"
"40","TRUE","TRUE"
"400","TRUE","TRUE"
"407","TRUE","TRUE"
"41","TRUE","TRUE"
"416","TRUE","TRUE"
"42","TRUE","TRUE"
"426","TRUE","FALSE"
"428","TRUE","TRUE"
"432","TRUE","TRUE"
"439","TRUE","TRUE"
"44","TRUE","TRUE"
"442","TRUE","TRUE"
"443","TRUE","TRUE"
"448","TRUE","TRUE"
"45","TRUE","TRUE"
"451","TRUE","TRUE"
"455","TRUE","TRUE"
"46","TRUE","TRUE"
"463","TRUE","TRUE"
"47","TRUE","TRUE"
"474","TRUE","FALSE"
"48","TRUE","FALSE"
"480","TRUE","TRUE"
"49","TRUE","TRUE"
"490","TRUE","TRUE"
"492","TRUE","TRUE"
"496","TRUE","TRUE"
"499","TRUE","TRUE"
"5","TRUE","TRUE"
"50","TRUE","TRUE"
"503","TRUE","TRUE"
"506","TRUE","TRUE"
"51","TRUE","TRUE"
"512","TRUE","FALSE"
"52","TRUE","TRUE"
"523","TRUE","TRUE"
"527","TRUE","TRUE"
"528","TRUE","FALSE"
"53","TRUE","TRUE"
"538","TRUE","TRUE"
"54","TRUE","TRUE"
"543","TRUE","TRUE"
"544","TRUE","TRUE"
"55","TRUE","FALSE"
"551","TRUE","TRUE"
"554","TRUE","TRUE"
"56","TRUE","TRUE"
"560","TRUE","TRUE"
"567","TRUE","TRUE"
"570","TRUE","TRUE"
"579","TRUE","TRUE"
"58","TRUE","TRUE"
"583","TRUE","TRUE"
"586","TRUE","TRUE"
"587","TRUE","TRUE"
"592","TRUE","TRUE"
"599","TRUE","TRUE"
"6","TRUE","TRUE"
"60","TRUE","TRUE"
"602","TRUE","TRUE"
"608","TRUE","FALSE"
"61","TRUE","TRUE"
"611","TRUE","FALSE"
"615","TRUE","TRUE"
"618","TRUE","TRUE"
"62","TRUE","TRUE"
"623","TRUE","TRUE"
"624","TRUE","FALSE"
"63","TRUE","FALSE"
"631","TRUE","TRUE"
"633","TRUE","TRUE"
"634","TRUE","FALSE"
"635","TRUE","TRUE"
"64","TRUE","TRUE"
"640","TRUE","TRUE"
"647","TRUE","TRUE"
"65","TRUE","TRUE"
"650","TRUE","FALSE"
"655","TRUE","TRUE"
"656","TRUE","TRUE"
"666","TRUE","TRUE"
"67","TRUE","TRUE"
"672","TRUE","TRUE"
"68","TRUE","TRUE"
"682","TRUE","TRUE"
"688","TRUE","TRUE"
"69","TRUE","TRUE"
"694","TRUE","TRUE"
"698","TRUE","TRUE"
"7","TRUE","TRUE"
"70","TRUE","TRUE"
"704","TRUE","TRUE"
"71","TRUE","TRUE"
"711","TRUE","TRUE"
"714","TRUE","TRUE"
"719","TRUE","TRUE"
"72","TRUE","TRUE"
"720","TRUE","TRUE"
"73","TRUE","TRUE"
"735","TRUE","TRUE"
"746","TRUE","TRUE"
"748","TRUE","TRUE"
"75","TRUE","TRUE"
"752","TRUE","TRUE"
"755","TRUE","TRUE"
"759","TRUE","TRUE"
"76","TRUE","TRUE"
"762","TRUE","TRUE"
"764","TRUE","TRUE"
"77","TRUE","FALSE"
"779","TRUE","TRUE"
"78","TRUE","TRUE"
"782","TRUE","TRUE"
"783","TRUE","TRUE"
"784","TRUE","TRUE"
"79","TRUE","TRUE"
"791","TRUE","TRUE"
"794","TRUE","TRUE"
"80","TRUE","TRUE"
"800","TRUE","FALSE"
"807","TRUE","TRUE"
"81","TRUE","TRUE"
"810","TRUE","TRUE"
"816","TRUE","TRUE"
"82","TRUE","TRUE"
"823","TRUE","TRUE"
"826","TRUE","TRUE"
"828","TRUE","TRUE"
"83","TRUE","TRUE"
"832","TRUE","FALSE"
"839","TRUE","TRUE"
"84","TRUE","FALSE"
"842","TRUE","TRUE"
"843","TRUE","TRUE"
"848","TRUE","TRUE"
"855","TRUE","TRUE"
"86","TRUE","TRUE"
"864","TRUE","TRUE"
"87","TRUE","TRUE"
"879","TRUE","TRUE"
"88","TRUE","TRUE"
"880","TRUE","FALSE"
"89","TRUE","TRUE"
"9","TRUE","TRUE"
"90","TRUE","FALSE"
"91","TRUE","TRUE"
"92","TRUE","TRUE"
"93","TRUE","TRUE"
"95","TRUE","TRUE"
"96","TRUE","TRUE"
"97","TRUE","TRUE"
"98","TRUE","TRUE"
"99","TRUE","TRUE"
"GBR1-1","TRUE","FALSE"
"GBR1-2","TRUE","TRUE"
"GBR1-3","TRUE","FALSE"
"GBR1-4","TRUE","TRUE"
"GBR2-1","TRUE","FALSE"
"GBR2-2","TRUE","FALSE"
"GBR2-3","TRUE","FALSE"
"GBR2-4","TRUE","FALSE"
"GBR3-1","TRUE","FALSE"
"GBR3-2","TRUE","FALSE"
"GBR3-3","TRUE","FALSE"
"GBR3-4","TRUE","FALSE"
"GBR4-1","TRUE","FALSE"
"GBR4-2","TRUE","TRUE"
"GBR5-1","TRUE","TRUE"
"GBR5-2","TRUE","TRUE"
"GBR5-3","TRUE","FALSE"
"RB1","TRUE","TRUE"
"RB2","TRUE","FALSE"
"RC1","TRUE","TRUE"
"RC2","TRUE","TRUE"
"RC3(2)","TRUE","FALSE"
"RC3","TRUE","TRUE"
"101","FALSE","TRUE"
"105","FALSE","TRUE"
"113","FALSE","TRUE"
"11RC3","FALSE","TRUE"
"128","FALSE","TRUE"
"13RC10","FALSE","TRUE"
"13RC14","FALSE","TRUE"
"13RC5","FALSE","TRUE"
"199","FALSE","TRUE"
"2014-12_Geographe_Bay_stereoBRUVs_images.csv","FALSE","TRUE"
"43","FALSE","TRUE"
"458","FALSE","TRUE"
"572","FALSE","TRUE"
"576","FALSE","TRUE"
"651","FALSE","TRUE"
"66","FALSE","TRUE"
"679","FALSE","TRUE"
"684","FALSE","TRUE"
"695","FALSE","TRUE"
"736","FALSE","TRUE"
"74","FALSE","TRUE"
"763","FALSE","TRUE"
"8","FALSE","TRUE"
"85","FALSE","TRUE"
"858","FALSE","TRUE"
"874","FALSE","TRUE"
"94","FALSE","TRUE"
