"","Transect","ZoneName","Seagrass","no.scored","Time","Period","CvI"
"1","r20150526_035926_wa-gb-auv-02","Habitat Protection Zone",269,2500,"T1","Before","Control"
"2","r20150526_050219_wa-gb-auv-03","Habitat Protection Zone",227,2500,"T1","Before","Control"
"3","r20150526_024446_wa-gb-auv-01","Multiple Use Zone",882,2500,"T1","Before","Impact"
"4","r20150527_072129_wa-gb-auv-04","Multiple Use Zone",1146,2500,"T1","Before","Impact"
"5","r20150527_055625_wa-gb-auv-05","National Park Zone",1601,2500,"T1","Before","Control"
"6","DuplicateNPZ","National Park Zone",1598,2500,"T1","Before","Control"
"7","r20150526_035926_wa-gb-auv-02","Habitat Protection Zone",276,2500,"T2","Before","Control"
"8","r20150526_050219_wa-gb-auv-03","Habitat Protection Zone",241,2500,"T2","Before","Control"
"9","r20150526_024446_wa-gb-auv-01","Multiple Use Zone",901,2500,"T2","Before","Impact"
"10","r20150527_072129_wa-gb-auv-04","Multiple Use Zone",1148,2500,"T2","Before","Impact"
"11","r20150527_055625_wa-gb-auv-05","National Park Zone",1603,2500,"T2","Before","Control"
"12","DuplicateNPZ","National Park Zone",1594,2500,"T2","Before","Control"
"13","r20150526_035926_wa-gb-auv-02","Habitat Protection Zone",286,2500,"T3","Before","Control"
"14","r20150526_050219_wa-gb-auv-03","Habitat Protection Zone",237,2500,"T3","Before","Control"
"15","r20150526_024446_wa-gb-auv-01","Multiple Use Zone",968,2500,"T3","Before","Impact"
"16","r20150527_072129_wa-gb-auv-04","Multiple Use Zone",1145,2500,"T3","Before","Impact"
"17","r20150527_055625_wa-gb-auv-05","National Park Zone",1599,2500,"T3","Before","Control"
"18","DuplicateNPZ","National Park Zone",1588,2500,"T3","Before","Control"
