"","Cluster","ZoneName","Seagrass","no.scored","Time","Period","CvI"
"1","2","Habitat Protection Zone",128,758,"T1","Before","Impact"
"2","3","Multiple Use Zone",121,540,"T1","Before","Control"
"3","8","Multiple Use Zone",67,440,"T1","Before","Control"
"4","27","Special Purpose Zone (Mining Exclusion)",115,440,"T1","Before","Control"
"5","2","Habitat Protection Zone",128,758,"T2","Before","Impact"
"6","3","Multiple Use Zone",121,540,"T2","Before","Control"
"7","8","Multiple Use Zone",67,440,"T2","Before","Control"
"8","27","Special Purpose Zone (Mining Exclusion)",115,440,"T2","Before","Control"
"9","2","Habitat Protection Zone",128,758,"T3","Before","Impact"
"10","3","Multiple Use Zone",121,540,"T3","Before","Control"
"11","8","Multiple Use Zone",67,440,"T3","Before","Control"
"12","27","Special Purpose Zone (Mining Exclusion)",115,440,"T3","Before","Control"
