"","Transect","ZoneName","Seagrass","no.scored","Time","Period","CvI"
"1",16,"Habitat Protection Zone",82,438,"T1","Before","Impact"
"2",17,"Habitat Protection Zone",46,320,"T1","Before","Impact"
"3",9,"Multiple Use Zone",73,539,"T1","Before","Control"
"4",10,"Multiple Use Zone",45,440,"T1","Before","Control"
"5",11,"Multiple Use Zone",295,1300,"T1","Before","Control"
"6",12,"Multiple Use Zone",84,420,"T1","Before","Control"
"7",13,"Multiple Use Zone",193,780,"T1","Before","Control"
"8",14,"National Park Zone",67,160,"T1","Before","Control"
"9",15,"National Park Zone",59,180,"T1","Before","Control"
"10",16,"Habitat Protection Zone",82,438,"T2","Before","Impact"
"11",17,"Habitat Protection Zone",46,320,"T2","Before","Impact"
"12",9,"Multiple Use Zone",73,539,"T2","Before","Control"
"13",10,"Multiple Use Zone",45,440,"T2","Before","Control"
"14",11,"Multiple Use Zone",295,1300,"T2","Before","Control"
"15",12,"Multiple Use Zone",84,420,"T2","Before","Control"
"16",13,"Multiple Use Zone",193,780,"T2","Before","Control"
"17",14,"National Park Zone",67,160,"T2","Before","Control"
"18",15,"National Park Zone",59,180,"T2","Before","Control"
"19",16,"Habitat Protection Zone",82,438,"T3","Before","Impact"
"20",17,"Habitat Protection Zone",46,320,"T3","Before","Impact"
"21",9,"Multiple Use Zone",73,539,"T3","Before","Control"
"22",10,"Multiple Use Zone",45,440,"T3","Before","Control"
"23",11,"Multiple Use Zone",295,1300,"T3","Before","Control"
"24",12,"Multiple Use Zone",84,420,"T3","Before","Control"
"25",13,"Multiple Use Zone",193,780,"T3","Before","Control"
"26",14,"National Park Zone",67,160,"T3","Before","Control"
"27",15,"National Park Zone",59,180,"T3","Before","Control"
