"","Transect","ZoneName","Seagrass","no.scored","Time","Period","CvI"
"1",16,"Habitat Protection Zone",82,438,"T1","Before","Control"
"2",17,"Habitat Protection Zone",46,320,"T1","Before","Control"
"3",9,"Multiple Use Zone",73,539,"T1","Before","Control"
"4",10,"Multiple Use Zone",45,440,"T1","Before","Control"
"5",11,"Multiple Use Zone",295,1300,"T1","Before","Control"
"6",12,"Multiple Use Zone",84,420,"T1","Before","Control"
"7",13,"Multiple Use Zone",193,780,"T1","Before","Control"
"8",1,"Special Purpose Zone (Mining Exclusion)",25,620,"T1","Before","Impact"
"9",2,"Special Purpose Zone (Mining Exclusion)",69,420,"T1","Before","Impact"
"10",3,"Special Purpose Zone (Mining Exclusion)",106,820,"T1","Before","Impact"
"11",4,"Special Purpose Zone (Mining Exclusion)",25,280,"T1","Before","Impact"
"12",5,"Special Purpose Zone (Mining Exclusion)",152,980,"T1","Before","Impact"
"13",6,"Special Purpose Zone (Mining Exclusion)",13,294,"T1","Before","Impact"
"14",7,"Special Purpose Zone (Mining Exclusion)",166,640,"T1","Before","Impact"
"15",8,"Special Purpose Zone (Mining Exclusion)",0,360,"T1","Before","Impact"
"16",16,"Habitat Protection Zone",82,438,"T2","Before","Control"
"17",17,"Habitat Protection Zone",46,320,"T2","Before","Control"
"18",9,"Multiple Use Zone",73,539,"T2","Before","Control"
"19",10,"Multiple Use Zone",45,440,"T2","Before","Control"
"20",11,"Multiple Use Zone",295,1300,"T2","Before","Control"
"21",12,"Multiple Use Zone",84,420,"T2","Before","Control"
"22",13,"Multiple Use Zone",193,780,"T2","Before","Control"
"23",1,"Special Purpose Zone (Mining Exclusion)",25,620,"T2","Before","Impact"
"24",2,"Special Purpose Zone (Mining Exclusion)",69,420,"T2","Before","Impact"
"25",3,"Special Purpose Zone (Mining Exclusion)",106,820,"T2","Before","Impact"
"26",4,"Special Purpose Zone (Mining Exclusion)",25,280,"T2","Before","Impact"
"27",5,"Special Purpose Zone (Mining Exclusion)",152,980,"T2","Before","Impact"
"28",6,"Special Purpose Zone (Mining Exclusion)",13,294,"T2","Before","Impact"
"29",7,"Special Purpose Zone (Mining Exclusion)",166,640,"T2","Before","Impact"
"30",8,"Special Purpose Zone (Mining Exclusion)",0,360,"T2","Before","Impact"
"31",16,"Habitat Protection Zone",82,438,"T3","Before","Control"
"32",17,"Habitat Protection Zone",46,320,"T3","Before","Control"
"33",9,"Multiple Use Zone",73,539,"T3","Before","Control"
"34",10,"Multiple Use Zone",45,440,"T3","Before","Control"
"35",11,"Multiple Use Zone",295,1300,"T3","Before","Control"
"36",12,"Multiple Use Zone",84,420,"T3","Before","Control"
"37",13,"Multiple Use Zone",193,780,"T3","Before","Control"
"38",1,"Special Purpose Zone (Mining Exclusion)",25,620,"T3","Before","Impact"
"39",2,"Special Purpose Zone (Mining Exclusion)",69,420,"T3","Before","Impact"
"40",3,"Special Purpose Zone (Mining Exclusion)",106,820,"T3","Before","Impact"
"41",4,"Special Purpose Zone (Mining Exclusion)",25,280,"T3","Before","Impact"
"42",5,"Special Purpose Zone (Mining Exclusion)",152,980,"T3","Before","Impact"
"43",6,"Special Purpose Zone (Mining Exclusion)",13,294,"T3","Before","Impact"
"44",7,"Special Purpose Zone (Mining Exclusion)",166,640,"T3","Before","Impact"
"45",8,"Special Purpose Zone (Mining Exclusion)",0,360,"T3","Before","Impact"
