"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,20,1,-0.2,0.17
"2",1,2,2,3,1,1,20,1,-0.2,0.18
"3",1,2,3,3,1,1,20,1,-0.2,0.09
"4",1,2,1,3,2,1,20,1,-0.2,0.2
"5",1,2,2,3,2,1,20,1,-0.2,0.11
"6",1,2,3,3,2,1,20,1,-0.2,0.09
"7",1,2,1,3,3,1,20,1,-0.2,0.17
"8",1,2,2,3,3,1,20,1,-0.2,0.09
"9",1,2,3,3,3,1,20,1,-0.2,0.1
"10",1,2,1,3,1,1,20,1,-0.4,0.21
"11",1,2,2,3,1,1,20,1,-0.4,0.16
"12",1,2,3,3,1,1,20,1,-0.4,0.14
"13",1,2,1,3,2,1,20,1,-0.4,0.16
"14",1,2,2,3,2,1,20,1,-0.4,0.14
"15",1,2,3,3,2,1,20,1,-0.4,0.19
"16",1,2,1,3,3,1,20,1,-0.4,0.13
"17",1,2,2,3,3,1,20,1,-0.4,0.16
"18",1,2,3,3,3,1,20,1,-0.4,0.17
"19",1,2,1,3,1,1,20,1,-0.6,0.29
"20",1,2,2,3,1,1,20,1,-0.6,0.18
"21",1,2,3,3,1,1,20,1,-0.6,0.24
"22",1,2,1,3,2,1,20,1,-0.6,0.27
"23",1,2,2,3,2,1,20,1,-0.6,0.29
"24",1,2,3,3,2,1,20,1,-0.6,0.28
"25",1,2,1,3,3,1,20,1,-0.6,0.34
"26",1,2,2,3,3,1,20,1,-0.6,0.36
"27",1,2,3,3,3,1,20,1,-0.6,0.35
"28",1,2,1,3,1,1,20,1,-0.8,0.28
"29",1,2,2,3,1,1,20,1,-0.8,0.26
"30",1,2,3,3,1,1,20,1,-0.8,0.29
"31",1,2,1,3,2,1,20,1,-0.8,0.34
"32",1,2,2,3,2,1,20,1,-0.8,0.36
"33",1,2,3,3,2,1,20,1,-0.8,0.52
"34",1,2,1,3,3,1,20,1,-0.8,0.26
"35",1,2,2,3,3,1,20,1,-0.8,0.41
"36",1,2,3,3,3,1,20,1,-0.8,0.56
