"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,20,1,-0.2,0.32
"2",1,2,2,3,1,1,20,1,-0.2,0.23
"3",1,2,3,3,1,1,20,1,-0.2,0.42
"4",1,2,1,3,2,1,20,1,-0.2,0.4
"5",1,2,2,3,2,1,20,1,-0.2,0.34
"6",1,2,3,3,2,1,20,1,-0.2,0.48
"7",1,2,1,3,3,1,20,1,-0.2,0.36
"8",1,2,2,3,3,1,20,1,-0.2,0.48
"9",1,2,3,3,3,1,20,1,-0.2,0.44
"10",1,2,1,3,1,1,20,1,-0.4,0.51
"11",1,2,2,3,1,1,20,1,-0.4,0.77
"12",1,2,3,3,1,1,20,1,-0.4,0.74
"13",1,2,1,3,2,1,20,1,-0.4,0.69
"14",1,2,2,3,2,1,20,1,-0.4,0.7
"15",1,2,3,3,2,1,20,1,-0.4,0.76
"16",1,2,1,3,3,1,20,1,-0.4,0.65
"17",1,2,2,3,3,1,20,1,-0.4,0.68
"18",1,2,3,3,3,1,20,1,-0.4,0.75
"19",1,2,1,3,1,1,20,1,-0.6,0.78
"20",1,2,2,3,1,1,20,1,-0.6,0.88
"21",1,2,3,3,1,1,20,1,-0.6,0.88
"22",1,2,1,3,2,1,20,1,-0.6,0.83
"23",1,2,2,3,2,1,20,1,-0.6,0.78
"24",1,2,3,3,2,1,20,1,-0.6,0.74
"25",1,2,1,3,3,1,20,1,-0.6,0.89
"26",1,2,2,3,3,1,20,1,-0.6,0.76
"27",1,2,3,3,3,1,20,1,-0.6,0.83
"28",1,2,1,3,1,1,20,1,-0.8,0.9
"29",1,2,2,3,1,1,20,1,-0.8,0.93
"30",1,2,3,3,1,1,20,1,-0.8,0.87
"31",1,2,1,3,2,1,20,1,-0.8,0.94
"32",1,2,2,3,2,1,20,1,-0.8,0.81
"33",1,2,3,3,2,1,20,1,-0.8,0.8
"34",1,2,1,3,3,1,20,1,-0.8,0.95
"35",1,2,2,3,3,1,20,1,-0.8,0.77
"36",1,2,3,3,3,1,20,1,-0.8,0.79
