"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,1,2,1,1,1,10,1,-0.2,0.41
"2",1,1,2,1,2,1,10,1,-0.2,0.46
"3",1,1,2,1,3,1,10,1,-0.2,0.45
"4",1,1,2,1,1,1,20,1,-0.2,0.52
"5",1,1,2,1,2,1,20,1,-0.2,0.34
"6",1,1,2,1,3,1,20,1,-0.2,0.38
"7",1,1,2,1,1,1,30,1,-0.2,0.5
"8",1,1,2,1,2,1,30,1,-0.2,0.49
"9",1,1,2,1,3,1,30,1,-0.2,0.47
"10",1,1,2,1,1,1,40,1,-0.2,0.44
"11",1,1,2,1,2,1,40,1,-0.2,0.53
"12",1,1,2,1,3,1,40,1,-0.2,0.57
"13",1,1,2,1,1,1,50,1,-0.2,0.6
"14",1,1,2,1,2,1,50,1,-0.2,0.62
"15",1,1,2,1,3,1,50,1,-0.2,0.6
"16",1,1,2,1,1,1,10,1,-0.4,0.68
"17",1,1,2,1,2,1,10,1,-0.4,0.65
"18",1,1,2,1,3,1,10,1,-0.4,0.68
"19",1,1,2,1,1,1,20,1,-0.4,0.74
"20",1,1,2,1,2,1,20,1,-0.4,0.78
"21",1,1,2,1,3,1,20,1,-0.4,0.79
"22",1,1,2,1,1,1,30,1,-0.4,0.79
"23",1,1,2,1,2,1,30,1,-0.4,0.84
"24",1,1,2,1,3,1,30,1,-0.4,0.88
"25",1,1,2,1,1,1,40,1,-0.4,0.87
"26",1,1,2,1,2,1,40,1,-0.4,0.88
"27",1,1,2,1,3,1,40,1,-0.4,0.93
"28",1,1,2,1,1,1,50,1,-0.4,0.95
"29",1,1,2,1,2,1,50,1,-0.4,0.97
"30",1,1,2,1,3,1,50,1,-0.4,0.95
"31",1,1,2,1,1,1,10,1,-0.6,0.79
"32",1,1,2,1,2,1,10,1,-0.6,0.83
"33",1,1,2,1,3,1,10,1,-0.6,0.83
"34",1,1,2,1,1,1,20,1,-0.6,0.89
"35",1,1,2,1,2,1,20,1,-0.6,0.95
"36",1,1,2,1,3,1,20,1,-0.6,0.99
"37",1,1,2,1,1,1,30,1,-0.6,0.96
"38",1,1,2,1,2,1,30,1,-0.6,0.99
"39",1,1,2,1,3,1,30,1,-0.6,0.99
"40",1,1,2,1,1,1,40,1,-0.6,0.96
"41",1,1,2,1,2,1,40,1,-0.6,0.99
"42",1,1,2,1,3,1,40,1,-0.6,0.99
"43",1,1,2,1,1,1,50,1,-0.6,0.98
"44",1,1,2,1,2,1,50,1,-0.6,0.99
"45",1,1,2,1,3,1,50,1,-0.6,1
"46",1,1,2,1,1,1,10,1,-0.8,0.87
"47",1,1,2,1,2,1,10,1,-0.8,0.93
"48",1,1,2,1,3,1,10,1,-0.8,0.94
"49",1,1,2,1,1,1,20,1,-0.8,0.97
"50",1,1,2,1,2,1,20,1,-0.8,1
"51",1,1,2,1,3,1,20,1,-0.8,1
"52",1,1,2,1,1,1,30,1,-0.8,1
"53",1,1,2,1,2,1,30,1,-0.8,1
"54",1,1,2,1,3,1,30,1,-0.8,1
"55",1,1,2,1,1,1,40,1,-0.8,1
"56",1,1,2,1,2,1,40,1,-0.8,1
"57",1,1,2,1,3,1,40,1,-0.8,1
"58",1,1,2,1,1,1,50,1,-0.8,1
"59",1,1,2,1,2,1,50,1,-0.8,1
"60",1,1,2,1,3,1,50,1,-0.8,1
