"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,1,3,1,1,20,1,-0.2,0.31
"2",1,2,2,3,1,1,20,1,-0.2,0.49
"3",1,2,3,3,1,1,20,1,-0.2,0.65
"4",1,2,1,3,2,1,20,1,-0.2,0.44
"5",1,2,2,3,2,1,20,1,-0.2,0.59
"6",1,2,3,3,2,1,20,1,-0.2,0.74
"7",1,2,1,3,3,1,20,1,-0.2,0.48
"8",1,2,2,3,3,1,20,1,-0.2,0.65
"9",1,2,3,3,3,1,20,1,-0.2,0.72
"10",1,2,1,3,1,1,20,1,-0.4,0.78
"11",1,2,2,3,1,1,20,1,-0.4,0.93
"12",1,2,3,3,1,1,20,1,-0.4,1
"13",1,2,1,3,2,1,20,1,-0.4,0.91
"14",1,2,2,3,2,1,20,1,-0.4,0.99
"15",1,2,3,3,2,1,20,1,-0.4,1
"16",1,2,1,3,3,1,20,1,-0.4,0.87
"17",1,2,2,3,3,1,20,1,-0.4,1
"18",1,2,3,3,3,1,20,1,-0.4,1
"19",1,2,1,3,1,1,20,1,-0.6,0.92
"20",1,2,2,3,1,1,20,1,-0.6,1
"21",1,2,3,3,1,1,20,1,-0.6,1
"22",1,2,1,3,2,1,20,1,-0.6,1
"23",1,2,2,3,2,1,20,1,-0.6,1
"24",1,2,3,3,2,1,20,1,-0.6,1
"25",1,2,1,3,3,1,20,1,-0.6,1
"26",1,2,2,3,3,1,20,1,-0.6,1
"27",1,2,3,3,3,1,20,1,-0.6,1
"28",1,2,1,3,1,1,20,1,-0.8,1
"29",1,2,2,3,1,1,20,1,-0.8,1
"30",1,2,3,3,1,1,20,1,-0.8,1
"31",1,2,1,3,2,1,20,1,-0.8,1
"32",1,2,2,3,2,1,20,1,-0.8,1
"33",1,2,3,3,2,1,20,1,-0.8,1
"34",1,2,1,3,3,1,20,1,-0.8,1
"35",1,2,2,3,3,1,20,1,-0.8,1
"36",1,2,3,3,3,1,20,1,-0.8,1
