"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,1,1,1,1,1,100,1,-0.2,0.43
"2",1,1,2,1,1,1,100,1,-0.2,0.66
"3",1,1,3,1,1,1,100,1,-0.2,0.81
"4",1,1,1,1,2,1,100,1,-0.2,0.51
"5",1,1,2,1,2,1,100,1,-0.2,0.76
"6",1,1,3,1,2,1,100,1,-0.2,0.82
"7",1,1,1,1,3,1,100,1,-0.2,0.62
"8",1,1,2,1,3,1,100,1,-0.2,0.72
"9",1,1,3,1,3,1,100,1,-0.2,0.94
"10",1,1,1,1,1,1,100,1,-0.4,0.93
"11",1,1,2,1,1,1,100,1,-0.4,0.98
"12",1,1,3,1,1,1,100,1,-0.4,1
"13",1,1,1,1,2,1,100,1,-0.4,0.92
"14",1,1,2,1,2,1,100,1,-0.4,1
"15",1,1,3,1,2,1,100,1,-0.4,1
"16",1,1,1,1,3,1,100,1,-0.4,0.99
"17",1,1,2,1,3,1,100,1,-0.4,0.99
"18",1,1,3,1,3,1,100,1,-0.4,1
"19",1,1,1,1,1,1,100,1,-0.6,1
"20",1,1,2,1,1,1,100,1,-0.6,1
"21",1,1,3,1,1,1,100,1,-0.6,1
"22",1,1,1,1,2,1,100,1,-0.6,1
"23",1,1,2,1,2,1,100,1,-0.6,1
"24",1,1,3,1,2,1,100,1,-0.6,1
"25",1,1,1,1,3,1,100,1,-0.6,1
"26",1,1,2,1,3,1,100,1,-0.6,1
"27",1,1,3,1,3,1,100,1,-0.6,1
"28",1,1,1,1,1,1,100,1,-0.8,1
"29",1,1,2,1,1,1,100,1,-0.8,1
"30",1,1,3,1,1,1,100,1,-0.8,1
"31",1,1,1,1,2,1,100,1,-0.8,1
"32",1,1,2,1,2,1,100,1,-0.8,1
"33",1,1,3,1,2,1,100,1,-0.8,1
"34",1,1,1,1,3,1,100,1,-0.8,1
"35",1,1,2,1,3,1,100,1,-0.8,1
"36",1,1,3,1,3,1,100,1,-0.8,1
