"","total.seagrass","Turf.algae","total.sponges","other.inverts","corals","Unconsolidated","Consolidated","Macroalgae","dominant"
"1",20,0,0,0,0,80,0,0,"Unconsolidated"
"2",30.44,0,0,0,0,56.52,0,13.04,"Unconsolidated"
"3",24,0,0,0,0,60,0,16,"Unconsolidated"
"4",44,0,0,0,0,48,0,8,"Unconsolidated"
"5",48,0,0,0,0,48,0,4,"total.seagrass"
"6",36,0,0,0,0,56,0,8,"Unconsolidated"
"7",32,0,0,0,0,44,0,24,"Unconsolidated"
"8",52,0,0,0,0,48,0,0,"total.seagrass"
"9",24,0,0,0,0,76,0,0,"Unconsolidated"
"10",24,0,0,0,0,76,0,0,"Unconsolidated"
"11",48,0,0,0,0,52,0,0,"Unconsolidated"
"12",56,0,0,0,0,32,0,12,"total.seagrass"
"13",24,0,0,0,0,24,0,52,"Macroalgae"
"14",24,0,0,0,0,52,0,24,"Unconsolidated"
"15",12,0,0,0,0,68,0,20,"Unconsolidated"
"16",20,0,0,0,0,44,0,36,"Unconsolidated"
"17",44,0,0,0,0,40,0,16,"total.seagrass"
"18",20,0,0,0,0,52,0,28,"Unconsolidated"
"19",0,0,0,0,0,48,0,52,"Macroalgae"
"20",8,0,0,0,0,48,0,44,"Unconsolidated"
"21",28,0,0,0,0,56,0,16,"Unconsolidated"
"22",20,0,0,0,0,72,0,8,"Unconsolidated"
"23",0,0,0,0,0,88,0,12,"Unconsolidated"
"24",44,0,0,0,0,44,0,8,"total.seagrass"
"25",56,0,0,0,0,44,0,0,"total.seagrass"
"26",8,0,0,0,0,40,0,52,"Macroalgae"
"27",64,0,0,0,0,36,0,0,"total.seagrass"
"28",28,0,0,0,0,36,0,36,"Unconsolidated"
"29",28,0,0,0,0,36,0,36,"Unconsolidated"
"30",8,0,0,0,0,56,0,36,"Unconsolidated"
"31",20,0,0,0,0,76,4,0,"Unconsolidated"
"32",4,0,0,0,0,76,4,16,"Unconsolidated"
"33",16,0,0,0,0,84,0,0,"Unconsolidated"
"34",8,0,0,0,0,84,4,4,"Unconsolidated"
"35",4,0,0,0,0,72,0,24,"Unconsolidated"
"36",0,0,0,0,0,80,0,20,"Unconsolidated"
"37",16,0,0,0,0,40,0,44,"Macroalgae"
