"","campaignid","sample","Macroalgae","Turf.algae","Stony.corals","Unconsolidated","Seagrasses","Sponges","Consolidated","Other","NetName","ResName","ResArea","ZoneName","ZoneIUCN","NatLegend","Area_KM2","GAZ_DATE","LATEST_GAZ","coords.x1","coords.x2"
"1","r20150526_024446_wa-gb-auv-01","PR_20150526_024929_398_FC16",28,28,0,12,20,4,8,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1924801,-33.5731302
"2","r20150526_024446_wa-gb-auv-01","PR_20150526_024939_902_FC16",28,8,0,40,24,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1925965,-33.5731286
"3","r20150526_024446_wa-gb-auv-01","PR_20150526_024950_407_FC16",12,28,0,52,8,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1927149,-33.5731316
"4","r20150526_024446_wa-gb-auv-01","PR_20150526_025000_911_FC16",16,12,0,16,52,0,4,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1928344,-33.5731365
"5","r20150526_024446_wa-gb-auv-01","PR_20150526_025011_416_FC16",52,4,0,44,0,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1929535,-33.5731339
"6","r20150526_024446_wa-gb-auv-01","PR_20150526_025021_920_FC16",4,0,0,40,48,0,8,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1930714,-33.5731345
"7","r20150526_024446_wa-gb-auv-01","PR_20150526_025032_423_FC16",24,0,0,28,48,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1931938,-33.5731364
"8","r20150526_024446_wa-gb-auv-01","PR_20150526_025042_926_FC16",12,0,0,24,64,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1933141,-33.5731396
"9","r20150526_024446_wa-gb-auv-01","PR_20150526_025053_430_FC16",4,0,0,20,72,0,4,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1934344,-33.5731432
"10","r20150526_024446_wa-gb-auv-01","PR_20150526_025103_934_FC16",72,8,0,4,0,0,16,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.193555,-33.5731472
"11","r20150526_024446_wa-gb-auv-01","PR_20150526_025114_438_FC16",0,0,0,28,72,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1936737,-33.5731489
"12","r20150526_024446_wa-gb-auv-01","PR_20150526_025124_943_FC16",16,4,0,44,36,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1937921,-33.5731541
"13","r20150526_024446_wa-gb-auv-01","PR_20150526_025135_447_FC16",28,0,0,44,28,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1939134,-33.573161
"14","r20150526_024446_wa-gb-auv-01","PR_20150526_025145_951_FC16",24,0,0,24,52,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1940333,-33.5731633
"15","r20150526_024446_wa-gb-auv-01","PR_20150526_025156_454_FC16",4,0,0,28,68,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1941517,-33.5731688
"16","r20150526_024446_wa-gb-auv-01","PR_20150526_025206_958_FC16",0,0,0,52,48,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1942735,-33.5731732
"17","r20150526_024446_wa-gb-auv-01","PR_20150526_025217_462_FC16",4,0,0,32,64,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1943948,-33.5731776
"18","r20150526_024446_wa-gb-auv-01","PR_20150526_025227_965_FC16",0,0,0,40,60,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1945156,-33.5731839
"19","r20150526_024446_wa-gb-auv-01","PR_20150526_025238_468_FC16",0,0,0,96,4,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.194636,-33.5731916
"20","r20150526_024446_wa-gb-auv-01","PR_20150526_025248_971_FC16",28,0,0,60,12,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1947541,-33.573192
"21","r20150526_024446_wa-gb-auv-01","PR_20150526_025259_473_FC16",24,4,0,24,48,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1948762,-33.5731962
"22","r20150526_024446_wa-gb-auv-01","PR_20150526_025309_976_FC16",20,16,0,28,36,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1949985,-33.5732014
"23","r20150526_024446_wa-gb-auv-01","PR_20150526_025320_479_FC16",0,0,0,84,16,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.195118,-33.5732047
"24","r20150526_024446_wa-gb-auv-01","PR_20150526_025330_983_FC16",24,4,0,16,44,0,12,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1952364,-33.5732095
"25","r20150526_024446_wa-gb-auv-01","PR_20150526_025341_487_FC16",40,44,0,4,12,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1953583,-33.573213
"26","r20150526_024446_wa-gb-auv-01","PR_20150526_025351_990_FC16",68,4,0,4,20,0,0,4,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1954788,-33.573218
"27","r20150526_024446_wa-gb-auv-01","PR_20150526_025402_494_FC16",36,12,0,24,24,0,4,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.195598,-33.5732182
"28","r20150526_024446_wa-gb-auv-01","PR_20150526_025412_998_FC16",16,4,0,20,60,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.195721,-33.5732222
"29","r20150526_024446_wa-gb-auv-01","PR_20150526_025423_502_FC16",40,4,0,12,40,0,0,4,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1958398,-33.5732246
"30","r20150526_024446_wa-gb-auv-01","PR_20150526_025434_006_FC16",20,4,0,8,68,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1959543,-33.5732242
"31","r20150526_024446_wa-gb-auv-01","PR_20150526_025444_509_FC16",8,0,0,28,64,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1959987,-33.5731514
"32","r20150526_024446_wa-gb-auv-01","PR_20150526_025455_013_FC16",0,0,0,44,56,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1959972,-33.5730408
"33","r20150526_024446_wa-gb-auv-01","PR_20150526_025505_517_FC16",12,12,0,52,20,0,4,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1960042,-33.5729354
"34","r20150526_024446_wa-gb-auv-01","PR_20150526_025516_020_FC16",28,4,0,20,48,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1960098,-33.5728323
"35","r20150526_024446_wa-gb-auv-01","PR_20150526_025526_523_FC16",12,0,0,20,68,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1960154,-33.5727266
"36","r20150526_024446_wa-gb-auv-01","PR_20150526_025537_026_FC16",8,0,0,48,36,0,8,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1960209,-33.572623
"37","r20150526_024446_wa-gb-auv-01","PR_20150526_025547_529_FC16",12,0,0,32,52,0,4,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1960311,-33.5725208
"38","r20150526_024446_wa-gb-auv-01","PR_20150526_025558_032_FC16",4,0,0,0,92,0,4,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1960403,-33.5724207
"39","r20150526_024446_wa-gb-auv-01","PR_20150526_025608_535_FC16",40,0,0,48,12,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1960455,-33.5723222
"40","r20150526_024446_wa-gb-auv-01","PR_20150526_025619_038_FC16",16,4,0,28,36,0,16,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1959696,-33.5722729
"41","r20150526_024446_wa-gb-auv-01","PR_20150526_025629_541_FC16",20,0,0,40,36,0,0,4,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1958435,-33.5722903
"42","r20150526_024446_wa-gb-auv-01","PR_20150526_025640_045_FC16",8,0,0,28,60,0,4,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1957091,-33.572275
"43","r20150526_024446_wa-gb-auv-01","PR_20150526_025650_549_FC16",0,0,0,28,72,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1955827,-33.5722661
"44","r20150526_024446_wa-gb-auv-01","PR_20150526_025701_052_FC16",0,0,0,56,44,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1954626,-33.5722636
"45","r20150526_024446_wa-gb-auv-01","PR_20150526_025711_556_FC16",0,0,0,28,72,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1953414,-33.5722503
"46","r20150526_024446_wa-gb-auv-01","PR_20150526_025722_059_FC16",20,0,0,24,56,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1952211,-33.5722375
"47","r20150526_024446_wa-gb-auv-01","PR_20150526_025732_563_FC16",16,0,0,32,52,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.1951033,-33.5722281
