"","campaignid","sample","Macroalgae","Turf.algae","Stony.corals","Unconsolidated","Seagrasses","Sponges","Consolidated","NetName","ResName","ResArea","ZoneName","ZoneIUCN","NatLegend","Area_KM2","GAZ_DATE","LATEST_GAZ","coords.x1","coords.x2"
"1","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-1",95,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0222796,-33.5201841
"2","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-2",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0234335,-33.52151909
"3","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-3",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.023249,-33.52016351
"4","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-4",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.023345,-33.51925428
"5","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-5",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0250949,-33.52136525
"6","2007-03_Capes_MF_stereoBRUVs","MF-CNB2-3",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0149991,-33.51794849
"7","2007-03_Capes_MF_stereoBRUVs","MF-CNB2-4",90,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.017952,-33.51828435
"8","2007-03_Capes_MF_stereoBRUVs","MF-CNB2-5",40,0,0,0,60,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.016518,-33.51696287
"9","2007-03_Capes_MF_stereoBRUVs","MF-CNB3-5",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0085653,-33.52011759
"10","2007-03_Capes_MF_stereoBRUVs","MF-CNB4-2",40,0,0,60,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9977657,-33.52298231
"11","2007-03_Capes_MF_stereoBRUVs","MF-CNB4-5",80,0,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9987157,-33.52240252
"12","2007-03_Capes_MF_stereoBRUVs","MF-CNB5-3",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.996951,-33.53403354
"13","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-1",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9985879,-33.54756813
"14","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-2",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9982809,-33.54500221
"15","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-3",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9968822,-33.54541242
"16","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-4",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9996948,-33.54533166
"17","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-1",80,0,0,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9987115,-33.55388232
"18","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-2",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9974313,-33.55381652
"19","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-3",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9988276,-33.55584999
"20","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-4",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0008048,-33.55370875
"21","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-5",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9984269,-33.5526784
"22","2007-03_Capes_MF_stereoBRUVs","MF-GB109",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0939042,-33.55410455
"23","2007-03_Capes_MF_stereoBRUVs","MF-GB113",0,90,0,0,0,10,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.2362963,-33.56969737
"24","2007-03_Capes_MF_stereoBRUVs","MF-GB128",0,0,0,100,0,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.2369006,-33.56540445
"25","2007-03_Capes_MF_stereoBRUVs","MF-GB145",0,0,0,70,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.1344049,-33.54539738
"26","2007-03_Capes_MF_stereoBRUVs","MF-GB168",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.1340043,-33.54850245
"27","2007-03_Capes_MF_stereoBRUVs","MF-GB192",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.1130031,-33.53959924
"28","2007-03_Capes_MF_stereoBRUVs","MF-GB199",0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.1109986,-33.53719702
"29","2007-03_Capes_MF_stereoBRUVs","MF-GB221",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0889008,-33.52649658
"30","2007-03_Capes_MF_stereoBRUVs","MF-GB228",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.090396,-33.5245989
"31","2007-03_Capes_MF_stereoBRUVs","MF-INB1-1",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9831639,-33.6619459
"32","2007-03_Capes_MF_stereoBRUVs","MF-INB1-2",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9816932,-33.6612005
"33","2007-03_Capes_MF_stereoBRUVs","MF-INB1-3",92.86,0,0,0,0,0,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9838673,-33.66507734
"34","2007-03_Capes_MF_stereoBRUVs","MF-INB1-4",0,0,20,0,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9933911,-33.66036306
"35","2007-03_Capes_MF_stereoBRUVs","MF-INB1-5",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9864077,-33.66203487
"36","2007-03_Capes_MF_stereoBRUVs","MF-INB2-1",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9826155,-33.67111649
"37","2007-03_Capes_MF_stereoBRUVs","MF-INB2-2",90,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9815654,-33.6712887
"38","2007-03_Capes_MF_stereoBRUVs","MF-INB2-4",94.44,0,0,0,0,0,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9849682,-33.67150656
"39","2007-03_Capes_MF_stereoBRUVs","MF-INB2-5",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9832829,-33.66978382
"40","2007-03_Capes_MF_stereoBRUVs","MF-INB3-1",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.975069,-33.68479838
"41","2007-03_Capes_MF_stereoBRUVs","MF-INB3-2",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9751108,-33.68347354
"42","2007-03_Capes_MF_stereoBRUVs","MF-INB3-4",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9737347,-33.68373952
"43","2007-03_Capes_MF_stereoBRUVs","MF-INB3-5",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9766746,-33.68348113
"44","2007-03_Capes_MF_stereoBRUVs","MF-INB4-1",30,0,0,70,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9826155,-33.67111649
"45","2007-03_Capes_MF_stereoBRUVs","MF-INB4-2",50,0,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9693962,-33.68888923
"46","2007-03_Capes_MF_stereoBRUVs","MF-INB4-3",10,0,0,0,90,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9737953,-33.68851061
"47","2007-03_Capes_MF_stereoBRUVs","MF-INB4-4",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.969468,-33.68996345
"48","2007-03_Capes_MF_stereoBRUVs","MF-INB4-5",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9696989,-33.68702764
"49","2007-03_Capes_MF_stereoBRUVs","MF-INB5-1",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9641975,-33.69801017
"50","2007-03_Capes_MF_stereoBRUVs","MF-INB5-2",50,0,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.961827,-33.69834979
"51","2007-03_Capes_MF_stereoBRUVs","MF-INB5-4",50,0,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9666114,-33.70041244
"52","2007-03_Capes_MF_stereoBRUVs","MF-INB6-1",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9605892,-33.71100746
"53","2007-03_Capes_MF_stereoBRUVs","MF-INB6-2",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9591348,-33.71137116
"54","2007-03_Capes_MF_stereoBRUVs","MF-INB6-4",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.959983,-33.70926616
"55","2007-03_Capes_MF_stereoBRUVs","MF-INB6-5",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9619768,-33.71164354
"56","2007-03_Capes_MF_stereoBRUVs","MF-INB7-1",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9655605,-33.71843844
"57","2007-03_Capes_MF_stereoBRUVs","MF-INB7-2",94.12,0,0,5.88,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9635892,-33.71646726
"58","2007-03_Capes_MF_stereoBRUVs","MF-INB7-3",0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.964521,-33.71996323
"59","2007-03_Capes_MF_stereoBRUVs","MF-INB7-4",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9661446,-33.7202064
"60","2007-03_Capes_MF_stereoBRUVs","MF-INB7-5",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9702993,-33.71836314
"61","2007-03_Capes_MF_stereoBRUVs","MF-WC045",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9899,-33.66210075
"62","2007-03_Capes_MF_stereoBRUVs","MF-WC065",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0018976,-33.55629637
"63","2007-03_Capes_MF_stereoBRUVs","MF-WC100",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0042019,-33.50760321
"64","2007-03_Capes_MF_stereoBRUVs","MF-WC101",76.92,0,0,0,0,23.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0030051,-33.50300304
"65","2007-03_Capes_MF_stereoBRUVs","MF-WC102",70,0,0,10,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0014998,-33.50199585
"66","2007-03_Capes_MF_stereoBRUVs","MF-WC104",20,0,0,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0260965,-33.49860293
"67","2007-03_Capes_MF_stereoBRUVs","MF-WC105",0,0,0,0,0,76.92,23.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0042978,-33.49780274
"68","2007-03_Capes_MF_stereoBRUVs","MF-WC106",80,0,0,0,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0066041,-33.49719964
"69","2007-03_Capes_MF_stereoBRUVs","MF-WC108",0,0,0,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0293028,-33.49580444
"70","2007-03_Capes_MF_stereoBRUVs","MF-WC110",0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0056035,-33.49390116
"71","2007-03_Capes_MF_stereoBRUVs","MF-WC115",0,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9952044,-33.4842018
"72","2007-03_Capes_MF_stereoBRUVs","MF-WC116",50,0,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0018202,-33.48337086
"73","2014-12_Geographe_Bay_stereoBRUVs","1",0,0,0,100,0,0,0,"South-west","Geographe",976.656117,"Special Purpose Zone (Mining Exclusion)","VI","Special Purpose Zone (Mining Exclusion) (IUCN VI)",649.583230249,"1899/12/30","1899/12/30",115.21415,-33.36345
"74","2014-12_Geographe_Bay_stereoBRUVs","10",5.26,0,0,36.85,57.9,0,0,"South-west","Geographe",976.656117,"Multiple Use Zone","VI","Multiple Use Zone (IUCN VI)",290.727537771,"1899/12/30","1899/12/30",115.3313333,-33.5281667
"75","2014-12_Geographe_Bay_stereoBRUVs","100",0,5.26,0,0,89.47,5.26,0,"South-west","Geographe",976.656117,"Special Purpose Zone (Mining Exclusion)","VI","Special Purpose Zone (Mining Exclusion) (IUCN VI)",649.583230249,"1899/12/30","1899/12/30",115.21415,-33.4324833
"76","2014-12_Geographe_Bay_stereoBRUVs","10000",0,31.25,0,25,43.75,0,0,"South-west","Geographe",976.656117,"Special Purpose Zone (Mining Exclusion)","VI","Special Purpose Zone (Mining Exclusion) (IUCN VI)",649.583230249,"1899/12/30","1899/12/30",115.3645833,-33.4135833
"77","2014-12_Geographe_Bay_stereoBRUVs","10001",0,42.11,0,47.37,10.53,0,0,"South-west","Geographe",976.656117,"Special Purpose Zone (Mining Exclusion)","VI","Special Purpose Zone (Mining Exclusion) (IUCN VI)",649.583230249,"1899/12/30","1899/12/30",115.3722167,-33.4217167
"78","2014-12_Geographe_Bay_stereoBRUVs","10002",0,0,0,100,0,0,0,"South-west","Geographe",976.656117,"Special Purpose Zone (Mining Exclusion)","VI","Special Purpose Zone (Mining Exclusion) (IUCN VI)",649.583230249,"1899/12/30","1899/12/30",115.3889333,-33.4234167
"79","2014-12_Geographe_Bay_stereoBRUVs","10003",0,0,0,100,0,0,0,"South-west","Geographe",976.656117,"Special Purpose Zone (Mining Exclusion)","VI","Special Purpose Zone (Mining Exclusion) (IUCN VI)",649.583230249,"1899/12/30","1899/12/30",115.35935,-33.4213
