"","sample","maxn","ZoneName","Cluster","Time","Period","CvI"
"Habitat Protection Zone.222","12RC1",24,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.223","15",4,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.224","207",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.225","271",36,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.226","287",18,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.227","335",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.228","375",21,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.229","443",6,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.230","527",21,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.231","719",8,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.232","779",6,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.233","783",3,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.234","79",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.235","91",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.236","GBR-BOB",31,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.237","GBR1-3",21,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.238","GBR1-4",14,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.239","GBR4-1",6,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.240","GBR4-2",7,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.241","GBR5-1",25,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.242","GBR5-2",29,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.243","GBR5-3",17,"Habitat Protection Zone",16,"T1","Before","Control"
"Multiple Use Zone.118","10",1,"Multiple Use Zone",9,"T1","Before","Impact"
