"","Cluster","ZoneName","maxn_sum","no.samples","maxn_mean","Time","Period","CvI"
"1","16","Habitat Protection Zone",278,14,19.8571428571429,"T1","Before","Control"
"2","17","Habitat Protection Zone",19,8,2.375,"T1","Before","Control"
"3","9","Multiple Use Zone",200,15,13.3333333333333,"T1","Before","Control"
"4","10","Multiple Use Zone",67,12,5.58333333333333,"T1","Before","Control"
"5","11","Multiple Use Zone",292,36,8.11111111111111,"T1","Before","Control"
"6","12","Multiple Use Zone",69,12,5.75,"T1","Before","Control"
"7","13","Multiple Use Zone",189,20,9.45,"T1","Before","Control"
"8","1","Special Purpose Zone (Mining Exclusion)",70,21,3.33333333333333,"T1","Before","Impact"
"9","2","Special Purpose Zone (Mining Exclusion)",174,28,6.21428571428571,"T1","Before","Impact"
"10","3","Special Purpose Zone (Mining Exclusion)",96,25,3.84,"T1","Before","Impact"
"11","5","Special Purpose Zone (Mining Exclusion)",173,43,4.02325581395349,"T1","Before","Impact"
"12","16","Habitat Protection Zone",278,14,19.8571428571429,"T2","Before","Control"
"13","17","Habitat Protection Zone",19,8,2.375,"T2","Before","Control"
"14","9","Multiple Use Zone",200,15,13.3333333333333,"T2","Before","Control"
"15","10","Multiple Use Zone",67,12,5.58333333333333,"T2","Before","Control"
"16","11","Multiple Use Zone",292,36,8.11111111111111,"T2","Before","Control"
"17","12","Multiple Use Zone",69,12,5.75,"T2","Before","Control"
"18","13","Multiple Use Zone",189,20,9.45,"T2","Before","Control"
"19","1","Special Purpose Zone (Mining Exclusion)",70,21,3.33333333333333,"T2","Before","Impact"
"20","2","Special Purpose Zone (Mining Exclusion)",174,28,6.21428571428571,"T2","Before","Impact"
"21","3","Special Purpose Zone (Mining Exclusion)",96,25,3.84,"T2","Before","Impact"
"22","5","Special Purpose Zone (Mining Exclusion)",173,43,4.02325581395349,"T2","Before","Impact"
"23","16","Habitat Protection Zone",278,14,19.8571428571429,"T3","Before","Control"
"24","17","Habitat Protection Zone",19,8,2.375,"T3","Before","Control"
"25","9","Multiple Use Zone",200,15,13.3333333333333,"T3","Before","Control"
"26","10","Multiple Use Zone",67,12,5.58333333333333,"T3","Before","Control"
"27","11","Multiple Use Zone",292,36,8.11111111111111,"T3","Before","Control"
"28","12","Multiple Use Zone",69,12,5.75,"T3","Before","Control"
"29","13","Multiple Use Zone",189,20,9.45,"T3","Before","Control"
"30","1","Special Purpose Zone (Mining Exclusion)",70,21,3.33333333333333,"T3","Before","Impact"
"31","2","Special Purpose Zone (Mining Exclusion)",174,28,6.21428571428571,"T3","Before","Impact"
"32","3","Special Purpose Zone (Mining Exclusion)",96,25,3.84,"T3","Before","Impact"
"33","5","Special Purpose Zone (Mining Exclusion)",173,43,4.02325581395349,"T3","Before","Impact"
