"","Cluster","ZoneName","maxn_sum","no.samples","maxn_mean","Time","Period","CvI"
"1","16","Habitat Protection Zone",2,14,0.142857142857143,"T1","Before","Control"
"2","17","Habitat Protection Zone",6,8,0.75,"T1","Before","Control"
"3","9","Multiple Use Zone",4,15,0.266666666666667,"T1","Before","Control"
"4","10","Multiple Use Zone",25,12,2.08333333333333,"T1","Before","Control"
"5","11","Multiple Use Zone",13,36,0.361111111111111,"T1","Before","Control"
"6","12","Multiple Use Zone",16,12,1.33333333333333,"T1","Before","Control"
"7","13","Multiple Use Zone",28,20,1.4,"T1","Before","Control"
"8","1","Special Purpose Zone (Mining Exclusion)",20,21,0.952380952380952,"T1","Before","Impact"
"9","2","Special Purpose Zone (Mining Exclusion)",29,28,1.03571428571429,"T1","Before","Impact"
"10","3","Special Purpose Zone (Mining Exclusion)",21,25,0.84,"T1","Before","Impact"
"11","5","Special Purpose Zone (Mining Exclusion)",14,43,0.325581395348837,"T1","Before","Impact"
"12","16","Habitat Protection Zone",2,14,0.142857142857143,"T2","Before","Control"
"13","17","Habitat Protection Zone",6,8,0.75,"T2","Before","Control"
"14","9","Multiple Use Zone",4,15,0.266666666666667,"T2","Before","Control"
"15","10","Multiple Use Zone",25,12,2.08333333333333,"T2","Before","Control"
"16","11","Multiple Use Zone",13,36,0.361111111111111,"T2","Before","Control"
"17","12","Multiple Use Zone",16,12,1.33333333333333,"T2","Before","Control"
"18","13","Multiple Use Zone",28,20,1.4,"T2","Before","Control"
"19","1","Special Purpose Zone (Mining Exclusion)",20,21,0.952380952380952,"T2","Before","Impact"
"20","2","Special Purpose Zone (Mining Exclusion)",29,28,1.03571428571429,"T2","Before","Impact"
"21","3","Special Purpose Zone (Mining Exclusion)",21,25,0.84,"T2","Before","Impact"
"22","5","Special Purpose Zone (Mining Exclusion)",14,43,0.325581395348837,"T2","Before","Impact"
"23","16","Habitat Protection Zone",2,14,0.142857142857143,"T3","Before","Control"
"24","17","Habitat Protection Zone",6,8,0.75,"T3","Before","Control"
"25","9","Multiple Use Zone",4,15,0.266666666666667,"T3","Before","Control"
"26","10","Multiple Use Zone",25,12,2.08333333333333,"T3","Before","Control"
"27","11","Multiple Use Zone",13,36,0.361111111111111,"T3","Before","Control"
"28","12","Multiple Use Zone",16,12,1.33333333333333,"T3","Before","Control"
"29","13","Multiple Use Zone",28,20,1.4,"T3","Before","Control"
"30","1","Special Purpose Zone (Mining Exclusion)",20,21,0.952380952380952,"T3","Before","Impact"
"31","2","Special Purpose Zone (Mining Exclusion)",29,28,1.03571428571429,"T3","Before","Impact"
"32","3","Special Purpose Zone (Mining Exclusion)",21,25,0.84,"T3","Before","Impact"
"33","5","Special Purpose Zone (Mining Exclusion)",14,43,0.325581395348837,"T3","Before","Impact"
