"","sample","maxn","latitude","longitude","depth","ZoneName"
"1","1",0,-33.36345,115.21415,40,"Special Purpose Zone (Mining Exclusion)"
"2","10",1,-33.5281667,115.3313333,22.7,"Multiple Use Zone"
"3","100",47,-33.4324833,115.21415,36.7,"Special Purpose Zone (Mining Exclusion)"
"4","10000",0,-33.4135833,115.3645833,16.4,"Special Purpose Zone (Mining Exclusion)"
"5","10001",0,-33.4217167,115.3722167,15.9,"Special Purpose Zone (Mining Exclusion)"
"6","10002",0,-33.4234167,115.3889333,15.4,"Special Purpose Zone (Mining Exclusion)"
"7","10003",0,-33.4213,115.35935,16.5,"Special Purpose Zone (Mining Exclusion)"
"8","10004",7,-33.4039167,115.3976,15.3,"Special Purpose Zone (Mining Exclusion)"
"9","10005",2,-33.4777667,115.3694,24.6,"Special Purpose Zone (Mining Exclusion)"
"10","101",15,-33.3885833,115.37675,16.7,"Special Purpose Zone (Mining Exclusion)"
"11","102",0,-33.5185,115.1196,34.4,"Multiple Use Zone"
"12","103",16,-33.4581167,115.4547167,18.4,"Special Purpose Zone (Mining Exclusion)"
"13","1038",2,-33.5333333,115.4200167,13.9,"Multiple Use Zone"
"14","104",7,-33.4597333,115.2450667,33.3,"Special Purpose Zone (Mining Exclusion)"
"15","106",5,-33.57825,115.3451333,13.5,"Multiple Use Zone"
"16","107",16,-33.5833333,115.1881167,20.9,"Multiple Use Zone"
"17","108",0,-33.4690833,115.1676667,35,"Special Purpose Zone (Mining Exclusion)"
"18","11",4,-33.5712167,115.2958167,21.7,"Multiple Use Zone"
"19","110",0,-33.4022667,115.3556833,17,"Special Purpose Zone (Mining Exclusion)"
"21","111",3,-33.5369,115.3219167,21.9,"Multiple Use Zone"
"22","112",1,-33.4052,115.5224,14.8,"Special Purpose Zone (Mining Exclusion)"
"23","113",0,-33.3658333,115.27785,36.6,"Special Purpose Zone (Mining Exclusion)"
"24","114",0,-33.3984333,115.1639167,39.7,"Special Purpose Zone (Mining Exclusion)"
"25","115",0,-33.4446333,115.4064667,25.2,"Special Purpose Zone (Mining Exclusion)"
"26","116",3,-33.4981667,115.2863667,29.7,"Multiple Use Zone"
"28","11R1",0,-33.35885,115.3694,30.4,"Special Purpose Zone (Mining Exclusion)"
"29","11R2",0,-33.3967333,115.5076167,18.6,"Special Purpose Zone (Mining Exclusion)"
"30","11R3",0,-33.41215,115.5204667,14.7,"Special Purpose Zone (Mining Exclusion)"
"31","11R4",2,-33.4197,115.51755,14.5,"Special Purpose Zone (Mining Exclusion)"
"32","12",0,-33.40395,115.2615667,38.7,"Special Purpose Zone (Mining Exclusion)"
"33","122",5,-33.5375,115.4020833,13.3,"Multiple Use Zone"
"34","12RC1",24,-33.5932167,115.2132833,26.5,"Habitat Protection Zone"
"35","12RC2",17,-33.5916,115.23785,17.6,"Multiple Use Zone"
"36","12RC3",25,-33.5914667,115.24145,17.9,"Multiple Use Zone"
"37","12RC5",8,-33.5621333,115.3443,14.2,"Multiple Use Zone"
"38","12RC6",27,-33.5711,115.3481333,14.7,"Multiple Use Zone"
"39","12RC7",46,-33.5118,115.41785,15.2,"Multiple Use Zone"
"40","12RC8",8,-33.5148667,115.41815,14.1,"Multiple Use Zone"
"41","12RC9",3,-33.5162167,115.4064167,14.5,"Multiple Use Zone"
"42","13",5,-33.4501833,115.0925167,42.4,"Special Purpose Zone (Mining Exclusion)"
"43","135",6,-33.50185,115.4207333,15.8,"Multiple Use Zone"
"45","139",7,-33.60325,115.2736667,13.4,"Multiple Use Zone"
"46","13RC1",0,-33.5059833,115.43075,13.8,"Multiple Use Zone"
"47","13RC11",11,-33.3740333,115.36925,31,"Special Purpose Zone (Mining Exclusion)"
"48","13RC12",1,-33.3743667,115.3668167,31.3,"Special Purpose Zone (Mining Exclusion)"
"49","13RC13",5,-33.3754833,115.3631167,31.1,"Special Purpose Zone (Mining Exclusion)"
"50","13RC15",10,-33.3768333,115.3559333,32.5,"Special Purpose Zone (Mining Exclusion)"
"51","13RC2",2,-33.49485,115.45595,13.4,"Multiple Use Zone"
"52","13RC3",5,-33.4839333,115.45155,13.6,"Multiple Use Zone"
"53","13RC4",15,-33.4993833,115.3964667,19.5,"Multiple Use Zone"
"54","13RC5",0,-33.4839333,115.4656167,26.8,"Multiple Use Zone"
"55","13RC6",6,-33.3809667,115.3892333,29.7,"Special Purpose Zone (Mining Exclusion)"
"56","13RC7",6,-33.3774333,115.38605,29.5,"Special Purpose Zone (Mining Exclusion)"
"57","13RC8",8,-33.3726,115.3791,30.4,"Special Purpose Zone (Mining Exclusion)"
"58","13RC9",11,-33.3730667,115.3747833,30.9,"Special Purpose Zone (Mining Exclusion)"
"59","14",8,-33.5296667,115.4130333,13.2,"Multiple Use Zone"
"60","143",4,-33.5761667,115.2367,23.2,"Multiple Use Zone"
"62","15",4,-33.5782333,115.2147833,26.2,"Habitat Protection Zone"
"63","151",2,-33.4768,115.4328833,17.2,"Special Purpose Zone (Mining Exclusion)"
"65","16",0,-33.3889,115.4986167,20,"Special Purpose Zone (Mining Exclusion)"
"66","160",0,-33.6033667,115.2477833,13.8,"Multiple Use Zone"
"67","167",1,-33.4627333,115.4805667,14.4,"Special Purpose Zone (Mining Exclusion)"
"68","17",8,-33.3635833,115.23265,38.8,"Special Purpose Zone (Mining Exclusion)"
"69","170",0,-33.54165,115.3698333,15.8,"National Park Zone"
"72","18",0,-33.3926,115.0981333,42.4,"Special Purpose Zone (Mining Exclusion)"
"73","183",5,-33.5687667,115.2488,22.6,"Multiple Use Zone"
"74","19",0,-33.4605,115.3618,26,"Special Purpose Zone (Mining Exclusion)"
"76","196",15,-33.5098167,115.4045,15.9,"Multiple Use Zone"
"78","2",26,-33.4405333,115.10095,40.5,"Special Purpose Zone (Mining Exclusion)"
"79","20",7,-33.4338667,115.2221167,36,"Special Purpose Zone (Mining Exclusion)"
"81","207",0,-33.5738333,115.23165,23.3,"Habitat Protection Zone"
"83","21",0,-33.3857167,115.39765,15.7,"Special Purpose Zone (Mining Exclusion)"
"86","22",21,-33.57455,115.1806667,22.6,"Multiple Use Zone"
"87","224",1,-33.4189,115.5035833,16.5,"Special Purpose Zone (Mining Exclusion)"
"88","23",3,-33.5041833,115.4289333,13.6,"Multiple Use Zone"
"91","24",2,-33.47115,115.2861667,29.2,"Special Purpose Zone (Mining Exclusion)"
"92","240",2,-33.4387833,115.4684667,18.9,"Special Purpose Zone (Mining Exclusion)"
"94","25",0,-33.3833333,115.0827833,42.5,"Special Purpose Zone (Mining Exclusion)"
"96","256",4,-33.4083167,115.4774833,11.1,"Special Purpose Zone (Mining Exclusion)"
"97","26",27,-33.5500333,115.3236167,20.5,"Multiple Use Zone"
"99","27",0,-33.5463667,115.1883833,28.2,"Multiple Use Zone"
"100","270",1,-33.52045,115.4206,13.7,"Multiple Use Zone"
"101","271",36,-33.5937,115.2133167,27.3,"Habitat Protection Zone"
"102","272",13,-33.3815,115.4879333,11.7,"Special Purpose Zone (Mining Exclusion)"
"103","279",3,-33.5011833,115.4379167,14.2,"Multiple Use Zone"
"104","28",5,-33.42715,115.2872833,34,"Special Purpose Zone (Mining Exclusion)"
"105","282",2,-33.5571833,115.3322333,18.2,"Multiple Use Zone"
"106","287",18,-33.5940333,115.2189,16.4,"Habitat Protection Zone"
"107","288",1,-33.4709833,115.4775833,14.3,"Special Purpose Zone (Mining Exclusion)"
"108","29",9,-33.4869667,115.1764,34.3,"Multiple Use Zone"
"111","3",0,-33.4920833,115.3549,24.8,"Multiple Use Zone"
"112","30",0,-33.42405,115.33405,31.8,"Special Purpose Zone (Mining Exclusion)"
"114","31",0,-33.5986333,115.2369167,26.3,"Multiple Use Zone"
"116","316",19,-33.3839667,115.5281667,9.3,"Special Purpose Zone (Mining Exclusion)"
"117","32",2,-33.4807833,115.46205,14.1,"Special Purpose Zone (Mining Exclusion)"
"118","320",1,-33.4417833,115.49575,15.1,"Special Purpose Zone (Mining Exclusion)"
