"","sample","legal","non-legal","X","clust","lon","lat","time","Period","CvI"
"2.11","12RC1",0,0,11,"2",115.2132833,-33.5932167,"T2","Before","Impact"
"2.27","15",0,0,27,"2",115.2147833,-33.5782333,"T2","Before","Impact"
"2.35","207",0,0,35,"2",115.23165,-33.5738333,"T2","Before","Impact"
"2.44","271",0,1,44,"2",115.2133167,-33.5937,"T3","Before","Impact"
"2.48","287",1,0,48,"2",115.2189,-33.5940333,"T3","Before","Impact"
"2.55","335",0,0,55,"2",115.2266667,-33.5771167,"T1","Before","Impact"
"2.57","375",0,0,57,"2",115.2205667,-33.5902167,"T3","Before","Impact"
"2.66","443",1,0,66,"2",115.2024833,-33.5698,"T1","Before","Impact"
"2.75","527",0,0,75,"2",115.2078167,-33.5894167,"T1","Before","Impact"
"2.102","719",0,0,102,"2",115.23245,-33.6009667,"T1","Before","Impact"
"2.110","779",0,0,110,"2",115.2263667,-33.5817167,"T3","Before","Impact"
"2.113","783",0,0,113,"2",115.2263667,-33.5817167,"T1","Before","Impact"
"2.114","79",0,1,114,"2",115.2308833,-33.5874,"T3","Before","Impact"
"2.125","91",0,1,125,"2",115.2060833,-33.5396,"T2","Before","Impact"
"2.127","GBR-BOB",0,0,127,"2",115.2205667,-33.59235,"T2","Before","Impact"
"2.129","GBR1-3",0,0,129,"2",115.2022833,-33.5937833,"T2","Before","Impact"
"2.130","GBR1-4",0,0,130,"2",115.2055167,-33.59345,"T2","Before","Impact"
"2.131","GBR4-1",0,0,131,"2",115.2080833,-33.5933333,"T1","Before","Impact"
"2.132","GBR4-2",0,0,132,"2",115.2102333,-33.5928333,"T3","Before","Impact"
"2.133","GBR5-1",0,0,133,"2",115.2119333,-33.5932167,"T1","Before","Impact"
"2.134","GBR5-2",0,0,134,"2",115.2148,-33.5927333,"T1","Before","Impact"
"2.135","GBR5-3",0,0,135,"2",115.2175167,-33.5924167,"T3","Before","Impact"
"5.4","107",3,1,4,"5",115.1881167,-33.5833333,"T1","Before","Control"
"5.36","22",1,1,36,"5",115.1806667,-33.57455,"T1","Before","Control"
"5.42","27",0,0,42,"5",115.1883833,-33.5463667,"T3","Before","Control"
"5.68","455",5,0,68,"5",115.1820333,-33.5671333,"T2","Before","Control"
"5.74","523",0,0,74,"5",115.1589167,-33.5634333,"T2","Before","Control"
"5.80","570",0,5,80,"5",115.1625333,-33.5731333,"T2","Before","Control"
"5.91","635",0,0,91,"5",115.1995667,-33.5809667,"T1","Before","Control"
"5.99","684",0,0,99,"5",115.1735,-33.5845333,"T3","Before","Control"
"5.116","800",0,0,116,"5",115.1934833,-33.5731667,"T2","Before","Control"
"5.123","86",0,0,123,"5",115.1785167,-33.5405167,"T3","Before","Control"
"5.128","GBR1-2",0,0,128,"5",115.1995333,-33.5936,"T1","Before","Control"
"8.12","12RC2",1,6,12,"8",115.23785,-33.5916,"T2","Before","Control"
"8.13","12RC3",0,2,13,"8",115.24145,-33.5914667,"T2","Before","Control"
"8.26","143",0,2,26,"8",115.2367,-33.5761667,"T3","Before","Control"
"8.30","160",0,0,30,"8",115.2477833,-33.6033667,"T1","Before","Control"
"8.33","183",0,0,33,"8",115.2488,-33.5687667,"T2","Before","Control"
"8.50","31",0,0,50,"8",115.2369167,-33.5986333,"T1","Before","Control"
"8.54","331",0,8,54,"8",115.2530333,-33.6030833,"T3","Before","Control"
"8.76","543",0,0,76,"8",115.2434,-33.5950333,"T2","Before","Control"
"8.88","631",0,1,88,"8",115.2541167,-33.5778833,"T3","Before","Control"
"8.94","655",0,0,94,"8",115.2456833,-33.5812,"T1","Before","Control"
"8.120","843",0,0,120,"8",115.2586,-33.5999833,"T1","Before","Control"
