"","sample","legal","non-legal","legalpa","X","clust","lon","lat","time","Period","CvI"
"2.11","12RC1",0,0,0,11,"2",115.2132833,-33.5932167,"T3","Before","Impact"
"2.27","15",0,0,0,27,"2",115.2147833,-33.5782333,"T1","Before","Impact"
"2.35","207",0,0,0,35,"2",115.23165,-33.5738333,"T3","Before","Impact"
"2.44","271",0,1,0,44,"2",115.2133167,-33.5937,"T1","Before","Impact"
"2.48","287",1,0,1,48,"2",115.2189,-33.5940333,"T3","Before","Impact"
"2.55","335",0,0,0,55,"2",115.2266667,-33.5771167,"T1","Before","Impact"
"2.57","375",0,0,0,57,"2",115.2205667,-33.5902167,"T1","Before","Impact"
"2.66","443",1,0,1,66,"2",115.2024833,-33.5698,"T2","Before","Impact"
"2.75","527",0,0,0,75,"2",115.2078167,-33.5894167,"T2","Before","Impact"
"2.102","719",0,0,0,102,"2",115.23245,-33.6009667,"T2","Before","Impact"
"2.110","779",0,0,0,110,"2",115.2263667,-33.5817167,"T3","Before","Impact"
"2.113","783",0,0,0,113,"2",115.2263667,-33.5817167,"T1","Before","Impact"
"2.114","79",0,1,0,114,"2",115.2308833,-33.5874,"T3","Before","Impact"
"2.125","91",0,1,0,125,"2",115.2060833,-33.5396,"T1","Before","Impact"
"2.127","GBR-BOB",0,0,0,127,"2",115.2205667,-33.59235,"T2","Before","Impact"
"2.129","GBR1-3",0,0,0,129,"2",115.2022833,-33.5937833,"T2","Before","Impact"
"2.130","GBR1-4",0,0,0,130,"2",115.2055167,-33.59345,"T3","Before","Impact"
"2.131","GBR4-1",0,0,0,131,"2",115.2080833,-33.5933333,"T3","Before","Impact"
"2.132","GBR4-2",0,0,0,132,"2",115.2102333,-33.5928333,"T2","Before","Impact"
"2.133","GBR5-1",0,0,0,133,"2",115.2119333,-33.5932167,"T1","Before","Impact"
"2.134","GBR5-2",0,0,0,134,"2",115.2148,-33.5927333,"T2","Before","Impact"
"2.135","GBR5-3",0,0,0,135,"2",115.2175167,-33.5924167,"T1","Before","Impact"
"4.3","106",0,0,0,3,"4",115.3451333,-33.57825,"T1","Before","Control"
"4.14","12RC5",0,0,0,14,"4",115.3443,-33.5621333,"T2","Before","Control"
"4.15","12RC6",0,0,0,15,"4",115.3481333,-33.5711,"T1","Before","Control"
"4.41","26",0,0,0,41,"4",115.3236167,-33.5500333,"T3","Before","Control"
"4.47","282",0,0,0,47,"4",115.3322333,-33.5571833,"T2","Before","Control"
"4.71","490",0,0,0,71,"4",115.3612,-33.5613,"T3","Before","Control"
"4.86","618",0,0,0,86,"4",115.3528167,-33.5678833,"T1","Before","Control"
"4.98","682",0,0,0,98,"4",115.3354167,-33.5696167,"T2","Before","Control"
"4.103","746",0,0,0,103,"4",115.3570667,-33.5794333,"T3","Before","Control"
"4.122","858",0,0,0,122,"4",115.3461833,-33.5573167,"T1","Before","Control"
"5.4","107",3,1,1,4,"5",115.1881167,-33.5833333,"T2","Before","Control"
"5.36","22",1,1,1,36,"5",115.1806667,-33.57455,"T1","Before","Control"
"5.42","27",0,0,0,42,"5",115.1883833,-33.5463667,"T2","Before","Control"
"5.68","455",5,0,1,68,"5",115.1820333,-33.5671333,"T2","Before","Control"
"5.74","523",0,0,0,74,"5",115.1589167,-33.5634333,"T3","Before","Control"
"5.80","570",0,5,0,80,"5",115.1625333,-33.5731333,"T2","Before","Control"
"5.91","635",0,0,0,91,"5",115.1995667,-33.5809667,"T3","Before","Control"
"5.99","684",0,0,0,99,"5",115.1735,-33.5845333,"T1","Before","Control"
"5.116","800",0,0,0,116,"5",115.1934833,-33.5731667,"T1","Before","Control"
"5.123","86",0,0,0,123,"5",115.1785167,-33.5405167,"T3","Before","Control"
"5.128","GBR1-2",0,0,0,128,"5",115.1995333,-33.5936,"T1","Before","Control"
"25.1","103",1,0,1,1,"25",115.4547167,-33.4581167,"T3","Before","Control"
"25.28","151",0,0,0,28,"25",115.4328833,-33.4768,"T1","Before","Control"
"25.31","167",0,1,0,31,"25",115.4805667,-33.4627333,"T1","Before","Control"
"25.49","288",0,0,0,49,"25",115.4775833,-33.4709833,"T2","Before","Control"
"25.56","352",0,0,0,56,"25",115.4879833,-33.4517667,"T2","Before","Control"
"25.60","39",1,0,1,60,"25",115.43285,-33.465,"T2","Before","Control"
"25.85","608",0,1,0,85,"25",115.4702833,-33.4551833,"T3","Before","Control"
"25.89","633",0,0,0,89,"25",115.4535,-33.4711667,"T3","Before","Control"
"25.97","679",0,0,0,97,"25",115.4152667,-33.4721333,"T1","Before","Control"
"25.126","96",0,0,0,126,"25",115.4808167,-33.4489,"T1","Before","Control"
