"","sample","maxn","latitude","longitude","depth","X","clust","time","Period","CvI"
"2.11","12RC1",0,-33.5932167,115.2132833,26.5,11,"2","T1","Before","Impact"
"2.27","15",0,-33.5782333,115.2147833,26.2,27,"2","T1","Before","Impact"
"2.35","207",0,-33.5738333,115.23165,23.3,35,"2","T1","Before","Impact"
"2.44","271",1,-33.5937,115.2133167,27.3,44,"2","T2","Before","Impact"
"2.48","287",1,-33.5940333,115.2189,16.4,48,"2","T3","Before","Impact"
"2.55","335",0,-33.5771167,115.2266667,21.6,55,"2","T3","Before","Impact"
"2.57","375",0,-33.5902167,115.2205667,26.9,57,"2","T1","Before","Impact"
"2.66","443",1,-33.5698,115.2024833,27,66,"2","T1","Before","Impact"
"2.75","527",0,-33.5894167,115.2078167,26.8,75,"2","T2","Before","Impact"
"2.102","719",0,-33.6009667,115.23245,26.3,102,"2","T3","Before","Impact"
"2.110","779",3,-33.5817167,115.2263667,19,110,"2","T3","Before","Impact"
"2.113","783",0,-33.5817167,115.2263667,21.5,113,"2","T2","Before","Impact"
"2.114","79",1,-33.5874,115.2308833,18.5,114,"2","T2","Before","Impact"
"2.125","91",1,-33.5396,115.2060833,29.8,125,"2","T2","Before","Impact"
"2.127","GBR-BOB",0,-33.59235,115.2205667,16.7,127,"2","T2","Before","Impact"
"2.129","GBR1-3",0,-33.5937833,115.2022833,15.8,129,"2","T3","Before","Impact"
"2.130","GBR1-4",0,-33.59345,115.2055167,16.8,130,"2","T1","Before","Impact"
"2.131","GBR4-1",0,-33.5933333,115.2080833,16.1,131,"2","T3","Before","Impact"
"2.132","GBR4-2",0,-33.5928333,115.2102333,16.3,132,"2","T3","Before","Impact"
"2.133","GBR5-1",0,-33.5932167,115.2119333,16.2,133,"2","T1","Before","Impact"
"2.134","GBR5-2",0,-33.5927333,115.2148,16.6,134,"2","T2","Before","Impact"
"2.135","GBR5-3",0,-33.5924167,115.2175167,16.4,135,"2","T1","Before","Impact"
"4.3","106",0,-33.57825,115.3451333,13.5,3,"4","T1","Before","Control"
"4.14","12RC5",0,-33.5621333,115.3443,14.2,14,"4","T1","Before","Control"
"4.15","12RC6",0,-33.5711,115.3481333,14.7,15,"4","T3","Before","Control"
"4.41","26",0,-33.5500333,115.3236167,20.5,41,"4","T3","Before","Control"
"4.47","282",0,-33.5571833,115.3322333,18.2,47,"4","T1","Before","Control"
"4.71","490",0,-33.5613,115.3612,13.4,71,"4","T2","Before","Control"
"4.86","618",1,-33.5678833,115.3528167,14.5,86,"4","T1","Before","Control"
"4.98","682",0,-33.5696167,115.3354167,15.2,98,"4","T2","Before","Control"
"4.103","746",0,-33.5794333,115.3570667,13.2,103,"4","T2","Before","Control"
"4.122","858",0,-33.5573167,115.3461833,16.6,122,"4","T3","Before","Control"
"5.4","107",4,-33.5833333,115.1881167,20.9,4,"5","T3","Before","Control"
"5.36","22",2,-33.57455,115.1806667,22.6,36,"5","T3","Before","Control"
"5.42","27",0,-33.5463667,115.1883833,28.2,42,"5","T2","Before","Control"
"5.68","455",5,-33.5671333,115.1820333,24.9,68,"5","T2","Before","Control"
"5.74","523",0,-33.5634333,115.1589167,26,74,"5","T1","Before","Control"
"5.80","570",5,-33.5731333,115.1625333,24.6,80,"5","T2","Before","Control"
"5.91","635",0,-33.5809667,115.1995667,21.2,91,"5","T1","Before","Control"
"5.99","684",0,-33.5845333,115.1735,20.6,99,"5","T2","Before","Control"
"5.116","800",0,-33.5731667,115.1934833,22.9,116,"5","T1","Before","Control"
"5.123","86",0,-33.5405167,115.1785167,28.6,123,"5","T1","Before","Control"
"5.128","GBR1-2",0,-33.5936,115.1995333,16,128,"5","T3","Before","Control"
"25.1","103",1,-33.4581167,115.4547167,18.4,1,"25","T3","Before","Control"
"25.28","151",0,-33.4768,115.4328833,17.2,28,"25","T3","Before","Control"
"25.31","167",1,-33.4627333,115.4805667,14.4,31,"25","T1","Before","Control"
"25.49","288",0,-33.4709833,115.4775833,14.3,49,"25","T2","Before","Control"
"25.56","352",0,-33.4517667,115.4879833,15.2,56,"25","T3","Before","Control"
"25.60","39",1,-33.465,115.43285,19.8,60,"25","T1","Before","Control"
"25.85","608",1,-33.4551833,115.4702833,16.7,85,"25","T2","Before","Control"
"25.89","633",0,-33.4711667,115.4535,16.2,89,"25","T2","Before","Control"
"25.97","679",0,-33.4721333,115.4152667,12,97,"25","T1","Before","Control"
"25.126","96",0,-33.4489,115.4808167,15.9,126,"25","T1","Before","Control"
