"","sample","campaignid","latitude","longitude","Amphibolis","Posidonia","Zostera","Turf.algae","Erect.coarse.branching","Erect.fine.branching","Ecklonia.radiata","Scytothalia.dorycarpa","Sponges","Corals","strap.like","macroalgaeother","clust"
"1","103","2014-12_Geographe_Bay_stereoBRUVs",-33.4581167,115.4547167,9.09,50,0,31.82,0,0,0,0,0,0,0,0,"25"
"2","1038","2014-12_Geographe_Bay_stereoBRUVs",-33.5333333,115.4200167,0,80,0,20,0,0,0,0,0,0,0,0,"3"
"3","106","2014-12_Geographe_Bay_stereoBRUVs",-33.57825,115.3451333,100,0,0,0,0,0,0,0,0,0,0,0,"4"
"4","107","2014-12_Geographe_Bay_stereoBRUVs",-33.5833333,115.1881167,0,64,0,28,0,0,0,0,0,0,0,0,"5"
"5","11","2014-12_Geographe_Bay_stereoBRUVs",-33.5712167,115.2958167,75,0,0,5,0,0,0,0,0,0,0,0,"6"
"6","112","2014-12_Geographe_Bay_stereoBRUVs",-33.4052,115.5224,57.7,0,0,0,42.31,0,0,0,0,0,0,0,"27"
"7","11R2","2014-12_Geographe_Bay_stereoBRUVs",-33.3967333,115.5076167,0,52.17,0,43.48,0,0,0,0,0,0,0,0,"27"
"8","11R3","2014-12_Geographe_Bay_stereoBRUVs",-33.41215,115.5204667,100,0,0,0,0,0,0,0,0,0,0,0,"27"
"9","11R4","2014-12_Geographe_Bay_stereoBRUVs",-33.4197,115.51755,0,0,0,45.83,45.83,0,0,0,0,0,0,8.33,"31"
"10","122","2014-12_Geographe_Bay_stereoBRUVs",-33.5375,115.4020833,76.19,0,0,4.76,0,0,0,0,0,0,0,0,"3"
"11","12RC1","2014-12_Geographe_Bay_stereoBRUVs",-33.5932167,115.2132833,0,0,0,30,0,0,0,0,0,0,0,0,"2"
"12","12RC2","2014-12_Geographe_Bay_stereoBRUVs",-33.5916,115.23785,20,45,0,30,0,0,0,0,0,0,0,0,"8"
"13","12RC3","2014-12_Geographe_Bay_stereoBRUVs",-33.5914667,115.24145,0,0,0,100,0,0,0,0,0,0,0,0,"8"
"14","12RC5","2014-12_Geographe_Bay_stereoBRUVs",-33.5621333,115.3443,0,0,0,75,25,0,0,0,0,0,0,0,"4"
"15","12RC6","2014-12_Geographe_Bay_stereoBRUVs",-33.5711,115.3481333,0,0,0,100,0,0,0,0,0,0,0,0,"4"
"16","12RC7","2014-12_Geographe_Bay_stereoBRUVs",-33.5118,115.41785,0,0,0,80,20,0,0,0,0,0,0,0,"3"
"17","12RC8","2014-12_Geographe_Bay_stereoBRUVs",-33.5148667,115.41815,0,0,0,34.62,61.54,0,0,0,0,0,0,3.85000000000001,"3"
"18","12RC9","2014-12_Geographe_Bay_stereoBRUVs",-33.5162167,115.4064167,0,0,0,95.24,4.76,0,0,0,0,0,0,0,"3"
"19","135","2014-12_Geographe_Bay_stereoBRUVs",-33.50185,115.4207333,15,20,0,60,0,0,0,0,5,0,0,0,"3"
"20","139","2014-12_Geographe_Bay_stereoBRUVs",-33.60325,115.2736667,25,30,0,45,0,0,0,0,0,0,0,0,"6"
"21","13RC1","2014-12_Geographe_Bay_stereoBRUVs",-33.5059833,115.43075,0,0,0,76,24,0,0,0,0,0,0,0,"10"
"22","13RC2","2014-12_Geographe_Bay_stereoBRUVs",-33.49485,115.45595,0,0,0,86.21,13.79,0,0,0,0,0,0,0,"10"
"23","13RC3","2014-12_Geographe_Bay_stereoBRUVs",-33.4839333,115.45155,0,0,0,58.33,33.33,0,0,0,0,0,0,8.33,"10"
"24","13RC5","2014-12_Geographe_Bay_stereoBRUVs",-33.4839333,115.4656167,0,71.43,0,0,0,0,0,0,0,0,0,0,"10"
"25","14","2014-12_Geographe_Bay_stereoBRUVs",-33.5296667,115.4130333,0,0,0,90,0,0,0,0,0,0,0,0,"3"
"26","143","2014-12_Geographe_Bay_stereoBRUVs",-33.5761667,115.2367,0,0,0,100,0,0,0,0,0,0,0,0,"8"
"27","15","2014-12_Geographe_Bay_stereoBRUVs",-33.5782333,115.2147833,27.78,55.56,0,0,0,0,0,0,0,0,0,0,"2"
